"id","name","description","status","deleted_at","created_at","updated_at"
"1","Legal","Provides legal counsel, manages contracts, and ensures the organization complies with laws and regulations.","1",NULL,"2025-01-06 14:05:28","2025-01-10 09:32:12"
"2","Customer Service","Manages customer inquiries, complaints, and service requests.","1",NULL,"2025-01-07 06:38:30","2025-01-10 10:46:20"
"3","Human Resources","Responsible for managing recruitment, employee relations, training, and benefits.","1",NULL,"2025-01-07 06:38:53","2025-01-10 10:46:18"
"4","Finance","Manages financial records, budgeting, accounting, and investments.","1",NULL,"2025-01-07 09:04:17","2025-01-10 10:46:15"
"5","Marketing","Focuses on promoting products/services, market research, branding, and advertising.","0",NULL,"2025-01-10 08:47:20","2025-01-10 10:46:23"
"6","Sales","Administrator department has all the access in the website","0",NULL,"2025-01-10 10:46:56","2025-01-13 13:01:52"
"7","IT Support","Manager has all access in this website like administratorHandles technical issues, system maintenance, and network infrastructure.","0",NULL,"2025-01-10 10:56:28","2025-01-13 13:01:57"
"8","Operations","Handles the production, manufacturing, or service delivery of the company.","1",NULL,"2025-01-10 10:58:55","2025-01-13 13:01:05"
"9","Research and Development (R&D)","The Research and Development (R&D) department is responsible for exploring new ideas, developing innovative products, and improving existing ones. It plays a critical role in driving technological advancements, enhancing product functionality, and contributing to the companyâ€™s long-term growth and competitiveness. ","1",NULL,"2025-01-10 11:06:08","2025-01-13 13:02:54"
"10","Product Management","Oversees product development, strategy, and lifecycle management from conception to market release.","1",NULL,"2025-01-13 13:03:50","2025-01-13 13:03:50"
"11","Engineering","nvolved in product development, IT support, software engineering, and system maintenance.","1",NULL,"2025-01-13 13:03:55","2025-01-13 13:04:42"
